stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
0201,0201,"Fremantle Dr after 1st McKail Cr",-35.347043,149.047943,,,0,0
0300,0300,"Ainslie PS Donaldson St",-35.273620,149.140829,,,0,0
0401,0401,"MacFarlane Burnet Av after 1st Eccles Cct",-35.216060,149.003050,,,0,0
0402,0402,"MacFarlane Burnet Av before Hollows Cct",-35.212836,149.004189,,,0,0
0403,0403,"MacFarlane Burnet Av after Hollows Cct",-35.212665,149.004016,,,0,0
0404,0404,"MacFarlane Burnet Av before De Gruchy Pl",-35.216200,149.003141,,,0,0
0405,0405,"MacFarlane Burnet Av after Constance Stone St",-35.209343,149.003220,,,0,0
0406,0406,"MacFarlane Burnet Av opp Constance Stone St",-35.209295,149.002975,,,0,0
0600,0600,"O'Hanlon Pl after Gold Creek Rd",-35.192122,149.085970,,,0,0
0601,0601,"O'Hanlon Pl before Gold Creek Rd",-35.192143,149.086070,,,0,0
1001,1001,"Drumston St opp MacKillop College",-35.426112,149.091607,,,0,0
1002,1002,"Mackillop College Drumston St",-35.425974,149.091709,,,0,0
1005,1005,"Noorooma St after Ellerston Av",-35.428947,149.088168,,,0,0
1007,1007,"Ellerston Av opp Isabella Plains Shops",-35.427862,149.091027,,,0,0
1008,1008,"Isabella Plains Shops Ellerston Av",-35.427477,149.091420,,,0,0
1009,1009,"Mackillop College Ellerston Av",-35.425654,149.095483,,,0,0
1010,1010,"Ellerston Av opp Mackillop College",-35.425764,149.095466,,,0,0
1011,1011,"Ellerston Av before 1st Abercorn Cr",-35.426368,149.098008,,,0,0
1012,1012,"Ellerston Av opp 2nd Abercorn Cr",-35.426603,149.098114,,,0,0
1013,1013,"Ellerston Av before 2nd Abercorn Cr",-35.428486,149.100623,,,0,0
1014,1014,"Ellerston Av before 2nd Groveland Cr",-35.428391,149.100360,,,0,0
1015,1015,"Ellerston Av before Ashley Dr",-35.428790,149.102889,,,0,0
1016,1016,"Ellerston Av after Ashley Dr",-35.428922,149.102838,,,0,0
1017,1017,"Calwell Shops Webber Cr",-35.435094,149.113745,,,0,0
1018,1018,"Boddington Cr after Bacchus Cct",-35.379387,149.054883,,,0,0
1019,1019,"Casey Cr before Carpenter Cl",-35.436661,149.111290,,,0,0
1020,1020,"Casey Cr opp Carpenter Cl",-35.436859,149.110846,,,0,0
1027,1027,"Duggan St after Downard St",-35.439864,149.098624,,,0,0
1028,1028,"Duggan St after Beckett St",-35.439836,149.098479,,,0,0
1029,1029,"Duggan St before 1st Pennington Cr",-35.441602,149.100907,,,0,0
1030,1030,"Duggan St before 2nd Andrew Cr",-35.441603,149.101116,,,0,0
1031,1031,"Tharwa Dr after Duggan St",-35.444823,149.105720,,,0,0
1032,1032,"Tharwa Dr before Duggan St",-35.444455,149.103996,,,0,0
1033,1033,"Lawrence Wackett Cr opp Theodore PS",-35.447275,149.124613,,,0,0
1034,1034,"Theodore PS Lawrence Wackett Cr",-35.447346,149.124487,,,0,0
1035,1035,"Lawrence Wackett Cr after 1st Burdett Cr",-35.449867,149.122566,,,0,0
1036,1036,"Lawrence Wackett Cr before Chippindall Cct",-35.450002,149.122491,,,0,0
1037,1037,"Chippindall Cct opp Goldfinch Cct",-35.450823,149.120097,,,0,0
1038,1038,"Chippindall Cct after Latchford St",-35.450720,149.120304,,,0,0
1044,1044,"Hurtle Av after 1st Noarlunga Cr",-35.434802,149.086149,,,0,0
1045,1045,"Hurtle Av opp 2nd Noarlunga Cr",-35.434726,149.085969,,,0,0
1046,1046,"Barr Smith Av after Salas St",-35.426730,149.074178,,,0,0
1047,1047,"Barr Smith Av after Don Dunstan Dr",-35.426899,149.074185,,,0,0
1052,1052,"Barr Smith Av opp Hurtle Av",-35.431101,149.080008,,,0,0
1053,1053,"Barr Smith Av after Hurtle Av",-35.431263,149.080060,,,0,0
1054,1054,"Hurtle Av opp Ebenezer St",-35.434405,149.083587,,,0,0
1055,1055,"Hurtle Av after Ebenezer St",-35.433937,149.082881,,,0,0
1056,1056,"Hurtle Av opp Bonython PS",-35.432126,149.082310,,,0,0
1057,1057,"Bonython PS Hurtle Av",-35.431441,149.082295,,,0,0
1059,1059,"Homeworld Soward Way",-35.418682,149.067883,,,0,0
1060,1060,"Boddington Cr before Reynell Pl",-35.379517,149.055117,,,0,0
1061,1061,"Soward Way after Anketell St",-35.417271,149.070695,,,0,0
1062,1062,"Soward Way before Anketell St",-35.417379,149.070745,,,0,0
1063,1063,"Tuggeranong Bus Depot Scollay St",-35.422657,149.069730,,,0,0
1064,1064,"Scollay St opp Tuggeranong Bus Depot",-35.421808,149.069227,,,0,0
1065,1065,"Anketell St before Oakden St",-35.422697,149.072912,,,0,0
1066,1066,"Anketell St after Oakden St",-35.422550,149.072950,,,0,0
1067,1067,"Anketell St opp Tuggeranong Square",-35.419798,149.070847,,,0,0
1068,1068,"Tuggeranong Square Anketell St",-35.419976,149.070832,,,0,0
1069,1069,"Ellerston Av before Noorooma St",-35.430392,149.088160,,,0,0
1070,1070,"Ellerston Av opp Noorooma St",-35.430127,149.088257,,,0,0
1071,1071,"Ellerston Av after Keverstone Cct",-35.431594,149.088799,,,0,0
1072,1072,"Ellerston Av opp Keverstone Cct",-35.431555,149.088905,,,0,0
1073,1073,"Ellerston Av after Jasper Cl",-35.431903,149.092371,,,0,0
1074,1074,"Ellerston Av before 2nd Kadina Cr",-35.431674,149.092063,,,0,0
1075,1075,"Ellerston Av after Johnston Dr",-35.433965,149.094672,,,0,0
1076,1076,"Ellerston Av before Johnson Dr",-35.433781,149.094651,,,0,0
1077,1077,"Outtrim Av before Duggan St",-35.435753,149.098665,,,0,0
1078,1078,"Outtrim Av opp Duggan St",-35.435688,149.098410,,,0,0
1079,1079,"Outtrim Av before 2nd Carter Cr",-35.435899,149.102015,,,0,0
1080,1080,"Outtrim Av after Gurr St",-35.435979,149.101939,,,0,0
1081,1081,"Outtrim Av after 2nd Carter Cr",-35.436062,149.104675,,,0,0
1082,1082,"Outtrim Av before Gurr St",-35.436087,149.104832,,,0,0
1083,1083,"Outtrim Av after Costello Cct",-35.435623,149.109478,,,0,0
1084,1084,"Outtrim Av after Mountain Cct",-35.435705,149.109488,,,0,0
1085,1085,"Calwell PS Casey Cr",-35.438693,149.110352,,,0,0
1086,1086,"Casey Cr opp Calwell PS",-35.438580,149.110412,,,0,0
1089,1089,"Casey Cr after O'Connor Cct",-35.440019,149.113137,,,0,0
1090,1090,"Casey Cr opp O'Connor Cct",-35.439958,149.113233,,,0,0
1091,1091,"Calwell Park & Ride Johnson Dr",-35.433499,149.111284,,,0,0
1092,1092,"Casey Cr opp Calwell HS",-35.441119,149.115918,,,0,0
1093,1093,"Johnson Dr Opp Calwell Park & Ride",-35.433210,149.112594,,,0,0
1094,1094,"St Francis of Assisi PS Casey Cr",-35.441065,149.118881,,,0,0
1095,1095,"Were St before Tharwa Dr",-35.440384,149.120720,,,0,0
1096,1096,"Were St after Tharwa Dr",-35.440535,149.120676,,,0,0
1109,1109,"Louis Loder St at 1st Vonwiller Cr",-35.445646,149.116782,,,0,0
1110,1110,"Louis Loder St before 2nd Hartung Cr",-35.445576,149.116670,,,0,0
1111,1111,"Louis Loder St after 2nd Mehaffey Cr",-35.446537,149.114521,,,0,0
1112,1112,"Louis Loder St opp 1st Hartung Cr",-35.446523,149.114891,,,0,0
1113,1113,"Louis Loder St after 1st Cochrane Cr",-35.448010,149.115224,,,0,0
1114,1114,"44 Louis Loder St",-35.448128,149.115262,,,0,0
1115,1115,"Louis Loder St before 2nd Vonwiller Cr",-35.450545,149.117412,,,0,0
1116,1116,"Louis Loder St at 2nd Conlon Cr",-35.450595,149.117269,,,0,0
1117,1117,"Clift Cr before Johnson Dr",-35.433250,149.118429,,,0,0
1118,1118,"Clift Cr after Johnson Dr",-35.433112,149.118228,,,0,0
1119,1119,"Clift Cr after 2nd Chauncy Cr",-35.431157,149.119171,,,0,0
1120,1120,"Clift Cr after 1st Fullerton Cr",-35.431117,149.119349,,,0,0
1121,1121,"Deamer Cr before Meeson St",-35.429241,149.121439,,,0,0
1122,1122,"Deamer Cr before Clift Cr",-35.429355,149.120942,,,0,0
1123,1123,"Deamer Cr before 2nd Twamley Cr",-35.430849,149.123538,,,0,0
1124,1124,"Deamer Cr opp 1st Twamley Cr",-35.430915,149.123421,,,0,0
1125,1125,"69 Deamer Cr",-35.431494,149.127065,,,0,0
1126,1126,"Deamer Cr opp 69",-35.431724,149.126983,,,0,0
1127,1127,"Deamer Cr opp 1st Nina Jones Cr",-35.429424,149.128794,,,0,0
1128,1128,"Deamer Cr after 2nd Nina Jones Cr",-35.429786,149.128673,,,0,0
1129,1129,"Deamer Cr after Heagney Cr",-35.427319,149.129802,,,0,0
1130,1130,"Deamer Cr before Heagney Cr",-35.427189,149.129613,,,0,0
1131,1131,"Heagney Cr before Deamer Cr",-35.426486,149.130996,,,0,0
1132,1132,"Heagney Cr opp Deamer Cr",-35.426567,149.130245,,,0,0
1133,1133,"Heagney Cr before 2nd Couchman Cr",-35.424588,149.133212,,,0,0
1134,1134,"Heagney Cr before Enid Lorimer Cct",-35.424695,149.133027,,,0,0
1135,1135,"Heagney Cr before 1st Couchman Cr",-35.423045,149.134920,,,0,0
1136,1136,"Heagney Cr after Enid Lorimer Cct",-35.423025,149.134530,,,0,0
1137,1137,"Heagney Cr after 1st Henry Melville Cr",-35.421379,149.135994,,,0,0
1138,1138,"Heagney Cr after 2nd Emily Bulcock Cr",-35.420927,149.136018,,,0,0
1139,1139,"Heagney Cr opp Gilmore PS",-35.419229,149.136097,,,0,0
1140,1140,"Gilmore PS Heagney Cr",-35.419093,149.135985,,,0,0
1143,1143,"Proctor St opp Maclean St",-35.415211,149.125150,,,0,0
1144,1144,"Proctor St after MacLean St",-35.415327,149.125257,,,0,0
1147,1147,"Chisholm Shops Benham St",-35.414421,149.129066,,,0,0
1148,1148,"Benham St opp Chisholm Shops",-35.414484,149.129233,,,0,0
1149,1149,"Coyne St before Carson St",-35.409005,149.127953,,,0,0
1150,1150,"Coyne St opp Carson St",-35.409158,149.127772,,,0,0
1151,1151,"19 Coyne St",-35.409167,149.123106,,,0,0
1152,1152,"Coyne St opp 19",-35.409226,149.122726,,,0,0
1153,1153,"Bugden Av before 2nd Larcombe Cr",-35.406964,149.120433,,,0,0
1154,1154,"Bugden Av before Coyne St",-35.406757,149.120472,,,0,0
1155,1155,"Bugden Av before 2nd Demaine Cr",-35.404229,149.122455,,,0,0
1156,1156,"Bugden Av after Fihelly St",-35.404353,149.121963,,,0,0
1157,1157,"Bugden Av before 1st Mullan St",-35.402395,149.124135,,,0,0
1158,1158,"Bugden Av opp 2nd Mullan St",-35.401231,149.123513,,,0,0
1159,1159,"Bugden Av after 2nd Mullan St",-35.398518,149.122122,,,0,0
1160,1160,"Bugden Av opp 309",-35.398621,149.122257,,,0,0
1161,1161,"Bugden Av after 1st Dash Cr",-35.400242,149.115685,,,0,0
1162,1162,"Bugden Av after Partridge St",-35.401436,149.114272,,,0,0
1163,1163,"Bugden Av opp 2nd Maughan Cr",-35.401320,149.112769,,,0,0
1164,1164,"Bugden Av before 2nd Maughan Cr",-35.401832,149.110301,,,0,0
1165,1165,"Bugden Av after 1st Appel Cr",-35.401708,149.110045,,,0,0
1166,1166,"Bugden Av after Sternberg Cr",-35.402650,149.107483,,,0,0
1167,1167,"Bugden Av before Sternberg Cr",-35.402691,149.107556,,,0,0
1168,1168,"Bugden Av before 2nd Appel Cr",-35.399540,149.115823,,,0,0
1170,1170,"Sternberg Cr after Erindale Dr",-35.402261,149.103288,,,0,0
1171,1171,"Sternberg Cr after Ashley Dr",-35.401941,149.100575,,,0,0
1172,1172,"Erindale Interchange Plt 1",-35.403649,149.099162,,,0,0
1173,1173,"Erindale Interchange Plt 2",-35.404053,149.099282,,,0,0
1174,1174,"Sternberg Cr before Maltby Cct",-35.401992,149.102749,,,0,0
1176,1176,"Erindale College McBryde Cr",-35.403907,149.095995,,,0,0
1177,1177,"McBryde Cr opp Erindale College",-35.404224,149.096148,,,0,0
1178,1178,"Amsinck St after McBryde Cr",-35.405554,149.093547,,,0,0
1179,1179,"Amsinck St before McBryde Cr",-35.405601,149.093296,,,0,0
1180,1180,"MacKillop College McBryde Cr",-35.406139,149.090581,,,0,0
1181,1181,"McBryde Cr opp MacKillop College",-35.406264,149.090564,,,0,0
1182,1182,"Woodcock Dr before Clare Dennis Av",-35.441863,149.086183,,,0,0
1183,1183,"Woodcock Dr opp Clare Dennis Av",-35.441692,149.086154,,,0,0
1184,1184,"Clare Dennis Av before Armbruster St",-35.443044,149.085974,,,0,0
1185,1185,"Clare Dennis Av before 1st Fred Ln Cr",-35.445159,149.087800,,,0,0
1186,1186,"Clare Dennis Av before 2nd Fred Ln Cr",-35.446768,149.086077,,,0,0
1187,1187,"Clare Dennis Av before Preddey Way",-35.447089,149.083840,,,0,0
1188,1188,"Lewis Luxton Av after Preddey Way",-35.448402,149.086122,,,0,0
1189,1189,"Lewis Luxton Av opp Blinkhorn Pl",-35.450436,149.089090,,,0,0
1190,1190,"Lewis Luxton Av opp 2nd Cerutty Cr",-35.452903,149.087970,,,0,0
1191,1191,"Knoke Av opp Gordon PS",-35.458121,149.086118,,,0,0
1192,1192,"Knoke Av before Oxenham Cct",-35.460578,149.085659,,,0,0
1193,1193,"Knoke Av after Jim Pike Av",-35.462281,149.083208,,,0,0
1194,1194,"Jim Pike Av before Clem Hill St",-35.462016,149.079911,,,0,0
1195,1195,"Callaway Cr at 1st Myles Connell Cr",-35.459068,149.080047,,,0,0
1196,1196,"39 Callaway Cr",-35.460036,149.081737,,,0,0
1197,1197,"Bugden Av after 2nd Chataway Cr",-35.398638,149.117563,,,0,0
1198,1198,"Bugden Av opp 1st Chataway Cr",-35.398045,149.118252,,,0,0
1199,1199,"Knoke Av after Clem Hill St",-35.464786,149.084188,,,0,0
1200,1200,"Knoke Av after 2nd Harry Hopman Cct",-35.467259,149.087641,,,0,0
1201,1201,"Knoke Av after 1st Harry Hopman Cct",-35.472807,149.089281,,,0,0
1202,1202,"Pockett Av after Bellchambers Cr",-35.474078,149.093168,,,0,0
1203,1203,"Pockett Av after Wilson Cr",-35.471702,149.096924,,,0,0
1204,1204,"Pockett Av after 2nd Ironbark Cr",-35.469475,149.097634,,,0,0
1205,1205,"Pockett Av after Perrin Cct",-35.467558,149.095362,,,0,0
1206,1206,"Pockett Av before Thomas Hart St",-35.465280,149.094099,,,0,0
1207,1207,"Tom Roberts Av at Box Hill Av",-35.463823,149.096494,,,0,0
1208,1208,"Tom Roberts Av opp Charles Conder PS",-35.465324,149.098411,,,0,0
1210,1210,"Tom Roberts Av before Jane Sutherland St",-35.466303,149.105607,,,0,0
1211,1211,"Tom Roberts Av before 1st Templestowe Av",-35.462228,149.105193,,,0,0
1212,1212,"Tom Roberts Av opp John Russell Cct",-35.461222,149.102208,,,0,0
1213,1213,"Tom Roberts Av after Box Hill Av",-35.460419,149.099253,,,0,0
1214,1214,"Tom Roberts Av after 1st Beaumaris St",-35.466403,149.100420,,,0,0
1215,1215,"Box Hill Av opp Lanyon Marketplace",-35.456171,149.092495,,,0,0
1216,1216,"Box Hill Av opp St Clare of Assisi PS",-35.457716,149.097362,,,0,0
1217,1217,"Lanyon Marketplace Box Hill Av",-35.456354,149.092463,,,0,0
1218,1218,"St Clare of Assisi PS Box Hill Av",-35.457981,149.097464,,,0,0
1219,1219,"Tom Roberts Av before Box Hill Av",-35.460470,149.099015,,,0,0
1220,1220,"Tom Roberts Av before Altson Cct",-35.461297,149.101810,,,0,0
1221,1221,"Tom Roberts Av before Lethbridge St",-35.462199,149.104985,,,0,0
1223,1223,"Charles Conder PS Tom Roberts Av",-35.464854,149.097978,,,0,0
1224,1224,"Pockett Av before Box Hill Av",-35.464987,149.093953,,,0,0
1225,1225,"Pockett Av before 2nd Tregellas Cr",-35.467590,149.095269,,,0,0
